pattern_id,route_short_name,direction_label,traffic_delay_seconds,traffic_jam_factor,matched_flow_segments,observation_count,first_observed_at,last_observed_at
16c6b4a35ff6342d,183,Arabellapark -> Messestadt West,536.412168209956,8.1,1.0,1,2026-09-16 09:48:18.028731+00:00,2026-09-16 09:48:18.028731+00:00
17417fdbf59b2547,N45,Münchner Freiheit -> Waldperlach (Süd),44.02376895067509,1.2357885157767052,18.236842105263158,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
1880a89eb5f18049,139,Klinikum Harlaching -> Messestadt West,65.86891036819817,0.9146600461850994,8.105263157894736,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
19737af9a38e7e65,193,Von-Erckert-Straße -> Trudering,224.19395952333468,7.7,1.0,1,2026-09-14 16:55:20.198039+00:00,2026-09-14 16:55:20.198039+00:00
19754d0cc10bb074,143,Amalienburgstraße -> Freiham Bf. (Süd),54.35674586130375,1.3648311455458355,2.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
1b7cb12342883571,143,"Freiham, Möbel Höffner -> Olympia-Einkaufszentrum",86.51038215831576,1.2785105211910655,7.026315789473684,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
1f9a39ab31940d4c,50,Dessauerstraße -> Johanneskirchen,74.92034892335012,1.1973356094805316,10.052631578947368,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
1fe1348e52508293,53,Aidenbachstraße -> Münchner Freiheit,39.92758204765775,1.1698374014859254,6.2105263157894735,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2076e5cdc3187eff,62,Sendlinger Tor -> Rotkreuzplatz,98.60794483920061,1.4945318055761005,11.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
228c1ac15574a796,190,Messestadt Ost -> Riem,35.60357721272785,1.0273439555896555,10.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2462e20409b6db57,59,Giesing -> Münchner Freiheit,35.94317408176532,1.1763485746114757,31.289473684210527,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
2598d4d9e8bcb695,154,Johanneskirchner Straße -> Tivolistraße,2.183141758475813,0.8709799784856262,2.0,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
25f0882d728941e6,N40,Harras -> Kieferngarten,102.45151284659319,1.7945524723137627,20.710526315789473,38,2026-09-12 20:17:42.314278+00:00,2026-09-18 04:17:21.334739+00:00
