route_short_name,direction_label,traffic_delay_seconds,traffic_jam_factor,matched_flow_segments,observation_count,first_observed_at,last_observed_at
160,Blutenburg -> Waldfriedhof,79.61532590198927,0.8800398804558818,2.0232558139534884,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
160,Dachstraße -> Otto-Warburg-Straße,33.45794203427542,0.38541712753301327,3.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
160,Otto-Warburg-Straße -> Maria-Eich-Straße,147.82455007997234,0.6011627906976744,1.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
160,Waldfriedhof -> Pasing,138.66583530974825,1.5883720930232557,1.0,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
161,Berduxstraße -> Pasing Bf. Nord,47.45430417039021,0.3771983780824617,2.0,85,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
164,Augustenfelder Straße -> Westfriedhof,664.8111012119066,8.1,1.0,1,2026-09-25 07:32:02.352254+00:00,2026-09-25 07:32:02.352254+00:00
164,Pasinger Heuweg -> Westfriedhof,61.82451941328756,0.7883130288463165,5.034883720930233,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
164,Westfriedhof -> Pasinger Heuweg,156.43033050323726,0.9551742604135982,3.0232558139534884,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
164,Zaunerstraße -> Augustenfelder Straße,130.08987494831476,0.5155840553303134,1.0232558139534884,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
166,Forst-Kasten-Allee -> Fürstenried West,336.6038363355696,4.9283319218182555,1.5,86,2026-09-12 20:17:42.314278+00:00,2026-09-26 17:01:53.799097+00:00
166,Kemptener Straße -> Forst-Kasten-Allee,574.2743470932954,8.133333333333333,1.0,3,2026-09-13 16:01:42.666139+00:00,2026-09-16 14:46:00.678839+00:00
168,Nymphenburg Süd -> Wastl-Witt-Straße,746.9458257007581,8.75,1.0,2,2026-09-16 14:46:00.678839+00:00,2026-09-17 05:58:25.929323+00:00
